'  Efg_pct',' Turnover_PCT',' orb_pct',' ft_rate',' class'
0.468037,0.732057,0.413721,0.250396,' win'
0.292237,0.38756,0.519751,0.347068,' loss'
0.518265,0.430622,0.280665,0.302694,' win'
0.39726,0.574163,0.345114,0.418384,' win'
0.070776,0.354067,0.546778,0.213946,' loss'
0.3379,0.5311,0.417879,0.288431,' loss'
0.184932,0.679426,0.83368,0.643423,' win'
0.442922,0.488038,0.54262,0.291601,' win'
0.299087,0.593301,0.528067,0.323296,' loss'
0.244292,0.368421,0.588358,0.399366,' loss'
0.442922,0.373206,0.565489,0.266244,' win'
0.289954,0.296651,0.442827,0.264659,' win'
0.415525,0.732057,0.266112,0.167987,' loss'
0.550228,0.679426,0.357588,0.524564,' loss'
0.46347,0.488038,0.711019,0.172742,' win'
0.568493,0.421053,0.536383,0.253566,' win'
0.351598,0.626794,0.239085,0.22187,' loss'
0.497717,0.244019,0.517672,0.126783,' win'
0.372146,0.564593,0.461538,0.432647,' loss'
0.40411,0.30622,0.324324,0.226624,' loss'
0.468037,0.258373,0.338877,0.388273,' win'
0.429224,0.244019,0.596674,0.194929,' win'
0.573059,0.593301,0.345114,0.343899,' loss'
0.456621,0.574163,0.49896,0.393027,' win'
0.317352,0.363636,0.407484,0.278922,' loss'
0.312785,0.583732,0.621622,0.285261,' loss'
0.616438,0.449761,0.390852,0.464342,' win'
0.317352,0.349282,0.461538,0.139461,' loss'
0.205479,0.210526,0.399168,0.437401,' win'
0.531963,0.511962,0.981289,0.456418,' win'
0.445205,0.679426,0.671518,0.378764,' loss'
0.388128,0.583732,0.846154,0.337559,' loss'
0.378995,0.076555,0.513514,0.272583,' win'
0.47032,0.569378,0.336798,0.247227,' win'
0.401826,0.650718,0.461538,0.315372,' loss'
0.522831,0.267943,0.305613,0.369255,' loss'
0.598174,0.363636,0.245322,0.510301,' win'
0.278539,0.559809,0.505198,0.244057,' loss'
0.415525,0.631579,0.536383,0.229794,' win'
0.40411,0.406699,0.540541,0.244057,' loss'
0.60274,0.5311,0.357588,0.18542,' win'
0.232877,0.583732,0.195426,0.315372,' loss'
0.47032,0.559809,0.486486,0.40729,' win'
0.506849,0.425837,0.280665,0.270998,' loss'
0.324201,0.397129,0.54262,0.583201,' win'
0.458904,0.722488,0.588358,0.470681,' loss'
0.520548,0.574163,0.390852,0.532488,' win'
0.445205,0.899522,0.216216,0.412044,' loss'
0.392694,0.172249,0.326403,0.201268,' win'
0.262557,0.564593,0.280665,0.350238,' loss'
0.554795,0.626794,0.530146,0.310618,' win'
0.340183,0.5311,0.384615,0.29477,' loss'
0.442922,0.440191,0.727651,0.163233,' win'
0.429224,0.162679,0.432432,0.125198,' win'
0.484018,0.655502,0.43659,0.152139,' loss'
0.509132,0.995215,0.613306,0.510301,' loss'
0.484018,0.555024,0.349272,0.321712,' win'
0.353881,0.688995,0.594595,0.229794,' loss'
0.60274,0.660287,0.52183,0.296355,' win'
0.69863,0.822967,0.461538,0.247227,' loss'
0.534247,0.564593,0.266112,0.399366,' win'
0.328767,0.282297,0.390852,0.405705,' win'
0.429224,0.483254,0.239085,0.080824,' loss'
0.442922,0.746411,0.825364,0.450079,' win'
0.465753,0.363636,0.428274,0.237718,' loss'
0.484018,0.645933,0.376299,0.156894,' loss'
0.401826,0.368421,0.449064,0.326466,' win'
0.413242,0.5311,0.634096,0.624406,' win'
0.333333,0.421053,0.357588,0.459588,' loss'
0.312785,0.440191,0.33264,0.391442,' loss'
0.452055,0.334928,0.609148,0.296355,' win'
0.625571,0.263158,0.536383,0.101426,' win'
0.415525,0.38756,0.665281,0.354992,' loss'
0.296804,0.320574,0.288981,0.291601,' win'
0.136986,0.244019,0.461538,0.22187,' loss'
0.472603,0.4689,0.409563,0.256735,' win'
0.312785,0.4689,0.261954,0.491284,' loss'
0.285388,0.464115,0.694387,0.255151,' win'
0.182648,0.684211,0.43659,0.389857,' loss'
0.605023,0.473684,0.711019,0.063391,' win'
0.415525,0.440191,0.232848,0.478605,' loss'
0.372146,0.54067,0.257796,0.077655,' loss'
0.273973,0.45933,0.706861,0.394612,' win'
0.589041,0.37799,0.130977,0.14897,' loss'
0.573059,0.239234,0.328482,0.18225,' win'
0.267123,0.397129,0.698545,0.354992,' loss'
0.557078,0.133971,0.550936,0.231379,' win'
0.369863,0.645933,0.288981,0.226624,' loss'
0.675799,0.339713,0.247401,0.343899,' win'
0.60274,0.588517,0.386694,0.467512,' win'
0.271689,0.095694,0.451143,0.291601,' loss'
0.23516,0.354067,0.480249,0.269414,' loss'
0.440639,0.22488,0.648649,0.155309,' win'
0.563927,0.617225,0.399168,0.503962,' win'
0.347032,0.315789,0.453222,0.213946,' loss'
0.399543,0.263158,0.278586,0.394612,' loss'
0.442922,0.239234,0.569647,0.369255,' win'
0.246575,0.425837,0.307692,0.274168,' loss'
0.69863,0.4689,0.137214,0.399366,' win'
0.187215,0.45933,0.536383,0.175911,' loss'
0.579909,0.334928,0.528067,0.269414,' win'
0.415525,0.502392,0.727651,0.559429,' win'
0.390411,0.38756,0.602911,0.534073,' loss'
0.748858,0.511962,0.492723,0.388273,' loss'
0.56621,0.511962,0.804574,0.453249,' win'
0.465753,0.401914,0.461538,0.296355,' win'
0.401826,0.502392,0.087318,0.272583,' loss'
0.317352,0.5311,0.386694,0.256735,' loss'
0.694064,0.569378,0.515593,0.717908,' win'
0.30137,0.808612,0.324324,0.202853,' loss'
0.415525,0.483254,0.586279,0.198098,' win'
0.189498,0.454545,0.149688,0.354992,' loss'
0.415525,0.167464,0.212058,0.388273,' win'
0.152968,0.430622,0.365904,0.255151,' loss'
0.586758,0.665072,0.178794,0.122029,' win'
0.417808,0.248804,0.480249,0.226624,' loss'
0.531963,0.511962,0.297297,0.486529,' win'
0.778539,0.22488,0.307692,0.37401,' win'
0.488584,0.559809,0.367983,0.332805,' loss'
0.40411,0.349282,0.451143,0.335975,' loss'
0.465753,0.430622,0.428274,0.358162,' win'
0.605023,0.325359,0.288981,0.247227,' win'
0.356164,0.320574,0.742204,0.18225,' loss'
0.573059,0.397129,0.634096,0.576862,' loss'
0.742009,0.349282,0.357588,0.400951,' win'
0.490868,0.583732,0.297297,0.432647,' loss'
0.474886,0.349282,0.528067,0.469097,' win'
0.406393,0.354067,0.232848,0.183835,' loss'
0.394977,0.401914,0.326403,0.391442,' win'
0.534247,0.54067,0.403326,0.337559,' loss'
0.616438,0.196172,0.357588,0.22504,' win'
0.687215,0.550239,0.409563,0.077655,' win'
0.518265,0.315789,0.135135,0.291601,' loss'
0.324201,0.368421,0.582121,0.342314,' win'
0.347032,0.564593,0.461538,0.497623,' loss'
0.474886,0.688995,0.382536,0.282092,' win'
0.19863,0.535885,0.509356,0.41046,' loss'
0.413242,0.583732,0.565489,0.48336,' loss'
0.579909,0.526316,0.582121,0.364501,' win'
0.278539,0.45933,0.357588,0.459588,' win'
0.232877,0.770335,0.492723,0.510301,' loss'
0.429224,0.492823,0.288981,0.270998,' win'
0.292237,0.440191,0.33264,0.058637,' loss'
0.63242,0.282297,0.496881,0.199683,' win'
0.143836,0.258373,0.505198,0.283677,' loss'
0.353881,0.583732,0.384615,0.139461,' loss'
0.335616,0.30622,0.307692,0.259905,' win'
0.543379,0.272727,0.513514,0.676704,' win'
0.465753,0.397129,0.407484,0.248811,' loss'
0.468037,0.440191,0.650728,0.339144,' win'
0.150685,0.244019,0.386694,0.423138,' loss'
0.429224,0.373206,0.669439,0.44374,' loss'
0.568493,0.263158,0.598753,0.282092,' win'
0.372146,0.583732,0.232848,0.33439,' loss'
0.484018,0.684211,0.634096,0.402536,' win'
0.53653,0.550239,0.160083,0.304279,' win'
0.239726,0.473684,0.482328,0.302694,' loss'
0.442922,0.425837,0.384615,0.274168,' win'
0.392694,0.37799,0.530146,0.099842,' loss'
0.60274,0.497608,0.403326,0.187005,' loss'
0.703196,0.464115,0.492723,0.212361,' win'
0.513699,0.861244,0.426195,0.309033,' loss'
0.547945,0.330144,0.594595,0.18542,' win'
0.401826,0.272727,0.347193,0.458003,' loss'
0.621005,0.444976,0.650728,0.326466,' win'
0.525114,0.454545,0.18711,0.510301,' win'
0.442922,0.334928,0.426195,0.378764,' loss'
0.328767,0.488038,0.675676,0.26149,' loss'
0.575342,0.277512,0.559252,0.313788,' win'
0.522831,0.220096,0.413721,0.424723,' win'
0.273973,0.45933,0.386694,0.354992,' loss'
0.347032,0.688995,0.257796,0.171157,' loss'
0.194064,0.607656,0.621622,0.293185,' win'
0.30137,0.655502,0.634096,0.37401,' loss'
0.406393,0.349282,0.594595,0.247227,' win'
0.732877,0.559809,0.634096,0.256735,' win'
0.383562,0.421053,0.278586,0.278922,' loss'
0.515982,0.45933,0.762994,0.174326,' win'
0.468037,0.23445,0.334719,0.274168,' loss'
0.381279,0.37799,0.553015,0.299525,' loss'
0.557078,0.550239,0.619543,0.369255,' win'
0.374429,0.516746,0.650728,0.299525,' loss'
0.392694,0.330144,0.577963,0.167987,' win'
0.591324,0.157895,0.305613,0.187005,' win'
0.401826,0.373206,0.565489,0.228209,' loss'
0.773973,0.311005,0.130977,0.337559,' win'
0.228311,0.593301,0.496881,0.318542,' loss'
0.417808,0.220096,0.471933,0.296355,' win'
0.554795,0.631579,0.297297,0.244057,' loss'
0.273973,0.430622,0.536383,0.198098,' loss'
0.550228,0.45933,0.307692,0.362916,' win'
0.251142,0.497608,0.303534,0.37401,' loss'
0.191781,0.344498,0.365904,0.600634,' win'
0.376712,0.196172,0.54262,0.2187,' win'
0.187215,0.038278,0.536383,0.134707,' loss'
0.525114,0.569378,0.513514,0.171157,' loss'
0.458904,0.248804,0.087318,0.470681,' win'
0.486301,0.473684,0.461538,0.343899,' loss'
0.513699,0.588517,0.461538,0.751189,' win'
0.584475,0.722488,0.297297,0.304279,' loss'
0.538813,0.210526,0.451143,0.201268,' win'
0.374429,0.569378,0.417879,0.266244,' loss'
0.335616,0.578947,0.60499,0.354992,' win'
0.527397,0.712919,0.201663,0.62599,' loss'
