Team, Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT,stl_PCT, blk_PCT, opp_Team, opp_Efg_pct, opp_Turnover_PCT, opp_orb_pct, opp_ft_rate, opp_ast_PCT,opp_stl_PCT, opp_blk_PCT, class
PHI, .575, 14.7, 36.4, .103,  home,  64.6,  11.9,  14.7, MIN,  .548,  16.1,  19.4,  .260,  66.7,  11.9,  6.0,  win
MEM,  .401,  9.7,  32.7,  .198,  away,  60.0,  10.7,  6.8, POR, .438, 20.3, 16.7, .208,  50.0,  7.5,  5.3,  win
POR, .438, 20.3, 16.7, .208,  home,  50.0,  7.5,  5.3, MEM,  .401,  9.7,  32.7,  .198,  60.0,  10.7,  6.8,  loss
HOU,  .566,  17.2,  17.1,  .235,  away,  51.5,  9.5,  4.3, UTA, .480, 14.9, 34.9, .253,  56.7,  10.6,  9.5,  win
UTA, .480, 14.9, 34.9, .253,  home,  56.7,  10.6,  9.5, HOU,  .566,  17.2,  17.1,  .235,  51.5,  9.5,  4.3,  loss
NYK,  .506,  8.7,  28.9,  .262,  away,  50.0,  7.7,  12.5, ATL, .511, 12.0, 28.6, .138,  59.5,  3.3,  6.1,  win
ATL, .511, 12.0, 28.6, .138,  home,  59.5,  3.3,  6.1, NYK,  .506,  8.7,  28.9,  .262,  50.0,  7.7,  12.5,  loss
MIL,  .480,  8.5,  30.9,  .078,  away,  60.9,  9.2,  4.7, CHI, .584, 14.0, 21.2, .241,  58.7,  5.1,  11.6,  loss
CHI, .584, 14.0, 21.2, .241,  home,  58.7,  5.1,  11.6, MIL,  .480,  8.5,  30.9,  .078,  60.9,  9.2,  4.7,  win
SAC,  .535,  15.3,  17.6,  .101,  away,  57.4,  14.3,  1.4, DAL, .520, 13.6, 24.5, .153,  48.9,  11.6,  3.0,  loss
DAL, .520, 13.6, 24.5, .153,  home,  48.9,  11.6,  3.0, SAC,  .535,  15.3,  17.6,  .101,  57.4,  14.3,  1.4,  win
GSW,  .541,  9.5,  21.3,  .186,  away,  65.0,  9.4,  12.9, LAL, .346, 10.3, 25.4, .275,  51.7,  7.3,  7.3,  win
LAL, .346, 10.3, 25.4, .275,  home,  51.7,  7.3,  7.3, GSW,  .541,  9.5,  21.3,  .186,  65.0,  9.4,  12.9,  loss
DET,  .514,  16.7,  29.7,  .311,  away,  54.5,  4.2,  7.9, BOS, .407, 8.9, 26.5, .220,  67.6,  5.3,  10.6,  win
BOS, .407, 8.9, 26.5, .220,  home,  67.6,  5.3,  10.6, DET,  .514,  16.7,  29.7,  .311,  54.5,  4.2,  7.9,  loss
TOR,  .463,  16.2,  26.7,  .213,  away,  45.7,  13.0,  11.3, BRK, .429, 17.8, 14.0, .090,  58.1,  8.6,  6.9,  win
BRK, .429, 17.8, 14.0, .090,  home,  58.1,  8.6,  6.9, TOR,  .463,  16.2,  26.7,  .213,  45.7,  13.0,  11.3,  loss
NYK,  .579,  12.4,  17.9,  .243,  away,  38.5,  7.1,  7.7, MIA, .463, 12.8, 29.3, .171,  37.8,  2.4,  6.5,  win
MIA, .463, 12.8, 29.3, .171,  home,  37.8,  2.4,  6.5, NYK,  .579,  12.4,  17.9,  .243,  38.5,  7.1,  7.7,  loss
DEN,  .407,  11.1,  28.9,  .148,  away,  72.4,  3.7,  11.3, MIN, .404, 9.9, 19.5, .205,  82.1,  6.1,  8.2,  win
MIN, .404, 9.9, 19.5, .205,  home,  82.1,  6.1,  8.2, DEN,  .407,  11.1,  28.9,  .148,  72.4,  3.7,  11.3,  loss
DAL,  .466,  9.4,  23.4,  .218,  away,  59.5,  7.5,  9.7, NOP, .408, 9.0, 26.8, .174,  64.7,  7.5,  8.5,  win
NOP, .408, 9.0, 26.8, .174,  home,  64.7,  7.5,  8.5, DAL,  .466,  9.4,  23.4,  .218,  59.5,  7.5,  9.7,  loss
MEM,  .428,  7.4,  18.8,  .189,  away,  60.0,  9.3,  6.1, OKC, .506, 13.3, 30.2, .337,  52.6,  3.1,  8.7,  loss
OKC, .506, 13.3, 30.2, .337,  home,  52.6,  3.1,  8.7, MEM,  .428,  7.4,  18.8,  .189,  60.0,  9.3,  6.1,  win
IND,  .461,  15.3,  23.1,  .329,  away,  59.4,  11.9,  12.5, ORL, .443, 16.4, 21.4, .203,  53.1,  7.6,  11.1,  win
ORL, .443, 16.4, 21.4, .203,  home,  53.1,  7.6,  11.1, IND,  .461,  15.3,  23.1,  .329,  59.4,  11.9,  12.5,  loss
CHO,  .500,  11.9,  19.6,  .172,  away,  52.6,  9.1,  9.8, PHO, .601, 11.8, 5.4, .119,  61.0,  11.2,  3.4,  loss
PHO, .601, 11.8, 5.4, .119,  home,  61.0,  11.2,  3.4, CHO,  .500,  11.9,  19.6,  .172,  52.6,  9.1,  9.8,  win
LAC,  .572,  10.0,  23.8,  .169,  away,  57.1,  7.8,  10.0, POR, .494, 11.9, 34.7, .151,  55.3,  5.6,  6.7,  win
POR, .494, 11.9, 34.7, .151,  home,  55.3,  5.6,  6.7, LAC,  .572,  10.0,  23.8,  .169,  57.1,  7.8,  10.0,  loss
UTA,  .513,  17.2,  25.0,  .215,  away,  56.8,  8.5,  4.6, SAS, .657, 12.4, 25.0, .116,  65.4,  10.6,  3.3,  loss
SAS, .657, 12.4, 25.0, .116,  home,  65.4,  10.6,  3.3, UTA,  .513,  17.2,  25.0,  .215,  56.8,  8.5,  4.6,  win
