Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, class
GSW, 116,.576,16.7,27.9,.198, win
DET, 101, .618, 20.1, 25.0, .167, loss
MEM, 103,.546,14.7,15.6,.263, win
TOR, 106, .456, 8.8, 21.6, .267, win
ORL, 103,.500,13.0,14.3,.062, loss
CHI, 115, .506, 18.5, 42.5, .295, win
PHI, 111,.516,10.5,23.4,.161, loss
CLE, 95, .524, 16.4, 20.9, .110, loss
SAS, 99,.488,10.6,24.4,.217, win
SAC, 103, .493, 14.0, 33.3, .405, win
UTA, 101,.458,11.7,20.0,.301, loss
PHO, 103, .449, 12.1, 18.8, .258, loss
BOS, 117,.510,9.9,32.1,.198, win
POR, 116, .586, 8.4, 28.6, .075, win
BRK, 104,.494,11.0,34.8,.235, loss
DAL, 83, .442, 9.6, 16.7, .195, win
CHI, 77,.372,8.0,25.0,.151, loss
MIA, 98, .519, 12.7, 22.5, .173, win
DEN, 95,.449,12.7,15.4,.321, loss
CLE, 91, .437, 12.6, 36.2, .172, win
HOU, 77,.392,17.2,23.8,.257, loss
WAS, 118, .577, 12.8, 37.0, .051, win
IND, 104,.494,12.1,14.0,.313, loss
ATL, 101, .475, 14.2, 15.2, .060, loss
MIL, 108,.432,12.5,36.8,.260, win
CHO, 107, .570, 10.8, 9.1, .105, loss
NOP, 109,.563,7.9,18.6,.126, win
MIN, 93, .429, 11.2, 36.4, .235, loss
OKC, 113,.556,5.7,29.3,.157, win
BRK, 86, .474, 16.4, 16.7, .154, loss
ATL, 114,.608,10.0,14.7,.228, win
MIL, 105, .576, 15.2, 21.4, .306, win
CHO, 92,.431,4.9,24.5,.195, loss
GSW, 95, .415, 10.3, 25.9, .181, loss
DET, 113,.505,7.6,34.0,.109, win
SAC, 110, .559, 15.8, 22.0, .329, win
LAC, 103,.464,9.5,24.6,.146, loss
NYK, 95, .487, 8.4, 16.2, .260, loss
MEM, 103,.506,7.9,30.2,.244, win
POR, 89, .420, 11.8, 17.6, .184, loss
PHI, 114,.618,12.7,9.4,.263, win
LAL, 82, .394, 12.5, 28.6, .122, loss
UTA, 109,.566,9.9,28.2,.181, win
BOS, 119, .494, 13.4, 37.8, .364, win
WAS, 117,.483,11.0,31.8,.348, loss
IND, 126, .640, 13.6, 26.5, .256, loss
DEN, 129,.560,13.6,41.5,.297, win
HOU, 112, .516, 11.3, 25.0, .198, win
LAL, 95,.488,13.4,7.0,.183, loss
PHO, 87, .451, 14.0, 21.4, .173, loss
MIN, 117,.616,14.8,27.6,.464, win
MIA, 74, .444, 19.8, 18.4, .139, loss
OKC, 99,.494,13.0,31.0,.136, win
DAL, 83, .395, 12.4, 10.0, .235, loss
SAS, 112,.494,6.4,13.0,.256, win
ORL, 81, .379, 11.9, 20.4, .172, loss
ATL, 98,.569,16.8,11.4,.088, win
UTA, 119, .495, 8.1, 25.9, .154, loss
CHO, 124,.545,13.6,17.1,.318, win
GSW, 132, .653, 7.6, 17.6, .247, win
CLE, 98,.526,14.6,20.5,.221, loss
BOS, 113, .489, 10.2, 24.5, .223, loss
DAL, 118,.516,11.9,23.4,.237, win
CHI, 111, .577, 9.7, 16.7, .167, win
DET, 101,.468,9.6,38.5,.126, loss
HOU, 132, .563, 11.2, 33.3, .375, loss
LAC, 140,.637,10.2,20.0,.264, win
NOP, 99, .527, 15.1, 17.1, .284, loss
MEM, 101,.520,10.2,28.2,.307, win
PHI, 113, .490, 10.3, 14.0, .127, loss
NYK, 119,.485,11.3,18.5,.258, win
BRK, 100, .546, 14.2, 22.2, .224, loss
TOR, 112,.582,7.0,20.0,.153, win
POR, 108, .613, 14.4, 22.5, .060, win
WAS, 98,.539,9.5,9.3,.195, loss
OKC, 110, .454, 10.6, 30.8, .227, win
DEN, 104,.464,14.7,25.0,.325, loss
MIL, 91, .520, 17.3, 21.2, .189, win
MIA, 79,.399,14.1,27.3,.270, loss
MIN, 99, .493, 15.1, 30.0, .316, loss
NOP, 114,.566,13.9,30.8,.241, win
IND, 97, .434, 12.5, 20.0, .301, win
PHO, 94,.414,19.0,26.5,.333, loss
CLE, 91, .500, 13.2, 16.7, .182, win
BRK, 78,.440,12.1,18.8,.048, loss
GSW, 125, .589, 8.8, 26.7, .137, win
CHI, 94,.375,8.3,27.1,.190, loss
MIN, 94, .467, 15.1, 21.3, .099, loss
DAL, 106,.459,9.3,17.6,.175, win
DET, 123, .550, 8.6, 27.5, .438, win
HOU, 114,.516,11.2,22.4,.168, loss
SAC, 112, .517, 12.1, 34.1, .225, win
LAL, 93,.378,8.0,21.4,.278, loss
UTA, 111, .500, 10.7, 35.0, .291, loss
NYK, 118,.561,8.4,31.6,.189, win
CHO, 95, .475, 15.1, 14.0, .222, loss
OKC, 109,.524,17.2,33.3,.265, win
PHI, 96, .547, 14.4, 10.5, .203, win
ORL, 87,.417,12.8,26.0,.202, loss
ATL, 104, .506, 11.8, 21.3, .184, win
POR, 98,.484,10.8,28.3,.074, loss
BOS, 109, .576, 13.3, 22.2, .129, loss
TOR, 115,.620,12.6,26.5,.145, win
MIA, 87, .537, 20.9, 23.3, .206, loss
WAS, 106,.552,9.8,31.4,.128, win
LAC, 102, .488, 8.6, 19.5, .300, loss
CLE, 115,.584,12.2,34.1,.217, win
MEM, 102, .542, 12.4, 11.8, .333, win
DEN, 101,.506,9.9,23.3,.250, loss
DET, 99, .456, 13.1, 35.3, .176, loss
NOP, 115,.564,8.7,29.7,.209, win
SAS, 117, .541, 7.5, 22.7, .279, win
PHO, 89,.432,12.5,21.4,.235, loss
ATL, 88, .464, 17.3, 15.2, .119, loss
SAC, 91,.397,15.6,32.7,.196, win
CHI, 101, .444, 16.6, 33.3, .247, loss
BOS, 110,.490,10.2,31.4,.167, win
UTA, 108, .633, 14.6, 33.3, .173, win
BRK, 86,.480,11.7,16.2,.187, loss
OKC, 109, .538, 12.5, 39.5, .121, win
DAL, 106,.517,7.8,18.9,.184, loss
IND, 110, .479, 10.8, 29.4, .200, loss
GSW, 122,.556,14.4,32.6,.244, win
MIL, 98, .476, 13.7, 34.1, .200, loss
HOU, 102,.484,9.8,30.6,.117, win
SAS, 108, .571, 6.2, 17.5, .129, win
LAL, 95,.488,10.7,30.0,.155, loss
LAC, 116, .651, 9.4, 9.1, .224, win
NYK, 88,.412,15.3,26.7,.212, loss
CHO, 120, .495, 7.5, 25.5, .198, win
ORL, 116,.555,16.1,17.1,.165, loss
MIA, 81, .432, 11.9, 28.6, .136, loss
TOR, 101,.553,12.5,17.6,.240, win
NYK, 84, .422, 13.3, 17.4, .247, loss
CHO, 97,.396,10.1,20.4,.390, win
CHI, 96, .477, 7.0, 28.9, .149, win
CLE, 83,.394,3.7,28.6,.096, loss
DET, 101, .542, 14.8, 27.5, .119, loss
DEN, 104,.513,8.1,7.0,.308, win
MEM, 101, .525, 12.8, 25.0, .228, loss
MIN, 106,.537,15.2,25.0,.485, win
MIL, 99, .568, 18.0, 17.1, .203, loss
NOP, 116,.548,7.3,24.5,.138, win
ATL, 95, .476, 14.8, 22.9, .179, loss
PHO, 98,.459,15.0,31.9,.235, win
LAL, 103, .543, 17.8, 12.5, .406, loss
POR, 121,.559,7.2,35.0,.183, win
IND, 97, .459, 9.3, 18.8, .209, loss
SAC, 108,.476,12.2,28.9,.318, win
OKC, 106, .505, 12.1, 31.1, .129, loss
BRK, 116,.521,9.5,36.0,.191, win
