Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT, stl_PCT, blk_PCT, class
BRK, 77,.445,15.5,21.7,.164, home, 58.6, 4.7, 3.6, loss
OKC, 117, .534, 11.5, 40.0, .247, away, 37.8, 8.6, 5.2, win
LAL, 113,.530,10.4,25.6,.286, home, 47.5, 9.7, 6.9, loss
DEN, 84, .391, 15.1, 37.3, .184, away, 59.4, 2.2, 6.3, loss
MEM, 91,.415,6.8,21.6,.280, home, 46.7, 11.2, 8.8, win
DAL, 95, .500, 14.9, 36.4, .131, away, 77.1, 6.8, 7.0, loss
MIL, 96,.488,13.9,36.6,.225, home, 64.9, 12.4, 10.0, win
CLE, 125, .611, 10.5, 27.8, .321, away, 53.5, 8.6, 7.9, win
MIN, 99,.500,11.7,17.5,.253, home, 66.7, 8.6, 3.7, loss
IND, 91, .475, 21.2, 32.6, .173, away, 58.3, 7.2, 13.0, win
NOP, 86,.428,14.0,16.7,.181, home, 67.7, 21.7, 8.3, loss
MIA, 103, .541, 10.4, 16.2, .329, away, 63.9, 9.8, 8.8, win
PHO, 95,.467,12.5,30.0,.098, home, 37.5, 5.5, 7.3, loss
GSW, 128, .632, 13.5, 13.2, .207, away, 78.3, 5.8, 7.9, win
POR, 108,.458,7.7,21.8,.208, home, 55.3, 11.6, 7.3, loss
NYK, 99, .467, 7.5, 21.3, .154, away, 50.0, 1.1, 5.0, loss
SAS, 100,.462,7.4,26.1,.151, home, 56.1, 5.3, 12.9, win
TOR, 97, .487, 20.3, 17.6, .320, away, 32.4, 7.0, 22.0, win
WAS, 88,.440,17.3,14.6,.167, home, 54.5, 9.0, 14.8, loss
CHI, 105, .476, 17.9, 27.3, .313, away, 44.4, 6.7, 8.6, loss
ATL, 120,.574,13.0,19.0,.128, home, 67.3, 14.4, 20.0, win
BRK, 89, .494, 13.9, 12.2, .098, away, 63.2, 5.3, 4.6, loss
DET, 103,.511,8.4,25.0,.098, home, 53.5, 10.7, 6.8, win
CHO, 83, .411, 14.0, 24.4, .167, away, 45.2, 4.4, 5.0, loss
LAC, 97,.484,8.6,26.5,.099, home, 47.5, 6.6, 14.8, win
WAS, 105, .638, 15.7, 13.3, .105, away, 69.0, 11.3, 5.0, win
ORL, 99,.547,15.1,32.4,.243, home, 57.9, 10.2, 3.8, loss
TOR, 108, .580, 13.0, 18.8, .280, away, 46.3, 7.7, 11.1, win
PHI, 95,.556,13.1,22.5,.075, home, 66.7, 10.0, 8.6, loss
GSW, 128, .672, 16.1, 25.0, .126, away, 71.4, 4.8, 11.6, win
SAC, 116,.511,8.7,15.2,.239, home, 62.8, 7.7, 6.0, loss
MIA, 83, .451, 16.0, 31.9, .110, away, 41.2, 7.9, 15.7, loss
UTA, 98,.613,16.9,17.2,.155, home, 48.7, 11.3, 11.1, win
CHO, 92, .434, 11.4, 20.0, .241, away, 80.0, 6.6, 8.0, loss
DEN, 95,.494,13.0,20.5,.247, home, 78.1, 7.7, 14.9, win
IND, 103, .528, 16.0, 11.4, .089, away, 76.7, 11.2, 9.8, loss
HOU, 107,.517,18.2,22.7,.169, home, 61.5, 10.3, 5.1, win
NOP, 111, .440, 11.0, 27.8, .230, away, 50.0, 7.4, 3.8, loss
LAC, 114,.539,11.9,16.3,.202, home, 61.9, 7.4, 4.3, win
UTA, 86, .486, 14.9, 19.4, .275, away, 51.6, 9.3, 11.8, win
LAL, 74,.343,10.3,29.1,.146, home, 51.7, 10.4, 7.5, loss
BOS, 98, .460, 14.0, 22.9, .193, away, 59.5, 17.2, 5.9, loss
MEM, 101,.393,17.1,42.9,.417, home, 38.7, 8.1, 13.6, win
DAL, 93, .506, 13.1, 28.9, .195, away, 55.6, 8.0, 4.8, win
MIN, 87,.443,15.3,28.2,.215, home, 69.7, 9.1, 3.5, loss
MIL, 88, .419, 10.6, 31.1, .263, away, 59.4, 8.0, 6.7, loss
NYK, 100,.506,10.7,30.0,.179, home, 64.1, 5.7, 10.4, win
CLE, 95, .439, 9.1, 24.1, .178, away, 57.1, 9.4, 3.4, win
PHI, 85,.494,18.2,15.6,.117, home, 62.9, 6.3, 12.1, loss
OKC, 110, .553, 17.1, 20.0, .342, away, 62.2, 8.0, 10.7, loss
POR, 115,.515,13.1,37.0,.120, home, 64.3, 7.0, 7.3, win
SAS, 106, .561, 11.7, 28.6, .171, away, 61.4, 9.0, 6.6, win
BRK, 79,.466,16.0,14.3,.151, home, 45.5, 5.6, 4.3, loss
WAS, 114, .530, 8.0, 27.7, .091, away, 64.6, 10.4, 11.9, win
CHI, 100,.475,14.7,25.0,.284, home, 52.9, 5.2, 8.0, loss
MIA, 103, .489, 9.3, 18.4, .154, away, 75.6, 2.0, 6.3, loss
GSW, 111,.517,8.3,19.1,.256, home, 61.0, 5.1, 1.4, win
CLE, 110, .500, 8.0, 31.5, .134, away, 70.0, 12.7, 7.8, win
DAL, 107,.563,15.3,19.4,.228, home, 64.1, 4.2, 13.2, loss
